id,status,created_at,updated_at,receive_user_id,send_user_id
7,P,"2023-04-17 18:29:11","2023-04-17 18:29:11",831962,837521
10,A,"2023-04-17 18:29:11","2023-04-22 06:02:53",832151,837521
11,A,"2023-04-17 18:29:11","2023-04-18 19:28:41",832340,837521
13,A,"2023-04-17 18:29:11","2023-04-19 11:05:04",833041,837521
20,P,"2023-04-17 18:29:11","2023-04-17 18:29:11",834415,837521
21,P,"2023-04-17 18:29:11","2023-04-17 18:29:11",834486,837521
23,P,"2023-04-17 18:29:11","2023-04-17 18:29:11",837338,837521
46,A,"2023-04-18 06:44:18","2023-06-01 01:14:53",835871,837523
53,A,"2023-04-19 05:55:30","2023-04-19 08:47:32",835869,837524
54,A,"2023-04-19 06:06:20","2023-04-19 06:06:31",837530,837532
55,A,"2023-04-19 06:06:26","2023-04-19 06:33:23",833202,837534
56,A,"2023-04-19 06:06:26","2023-05-04 09:29:25",833714,837534
57,P,"2023-04-19 06:06:26","2023-04-19 06:06:26",833929,837534
58,A,"2023-04-19 06:06:26","2023-05-04 12:03:02",834288,837534
59,A,"2023-04-19 06:06:26","2023-04-30 12:37:14",835714,837534
60,P,"2023-04-19 06:06:26","2023-04-19 06:06:26",835797,837534
61,A,"2023-04-19 06:06:38","2023-04-30 09:39:31",835713,837534
62,A,"2023-04-19 06:06:59","2023-04-19 06:08:21",837531,837537
63,A,"2023-04-19 06:07:09","2023-04-19 06:08:20",837531,837538
64,A,"2023-04-19 06:07:09","2023-04-19 06:09:26",837537,837538
65,A,"2023-04-19 06:07:20","2023-04-19 06:10:44",837536,837541
66,A,"2023-04-19 06:07:20","2023-04-19 06:14:51",837539,837541
67,A,"2023-04-19 06:07:26","2023-04-19 06:08:39",837528,837542
68,A,"2023-04-19 06:07:54","2023-04-19 06:08:19",837531,837543
69,A,"2023-04-19 06:07:54","2023-04-19 06:09:25",837537,837543
70,A,"2023-04-19 06:07:56","2023-04-19 09:33:32",837538,837544
71,A,"2023-04-19 06:08:23","2023-04-19 09:30:02",837544,837531
72,A,"2023-04-19 06:08:32","2023-04-19 06:14:51",837539,837531
73,A,"2023-04-19 06:08:33","2023-04-19 06:08:39",837528,837549
74,A,"2023-04-19 06:08:40","2023-04-19 06:09:10",837531,837555
75,A,"2023-04-19 06:08:40","2023-04-19 06:09:25",837537,837555
76,A,"2023-04-19 06:08:40","2023-04-19 06:12:09",837543,837555
77,A,"2023-04-19 06:09:03","2023-04-19 06:09:09",837531,837556
78,A,"2023-04-19 06:09:03","2023-04-19 06:09:24",837537,837556
79,A,"2023-04-19 06:09:03","2023-04-19 06:12:08",837543,837556
80,A,"2023-04-19 06:09:03","2023-04-19 06:09:20",837555,837556
81,A,"2023-04-19 06:09:04","2023-04-19 06:09:27",837528,837557
82,A,"2023-04-19 06:09:04","2023-04-19 06:25:29",837549,837557
83,A,"2023-04-19 06:09:21","2023-04-19 06:10:42",837536,837531
84,P,"2023-04-19 06:09:21","2023-04-19 06:09:21",837541,837531
86,A,"2023-04-19 06:09:23","2023-04-19 06:44:37",837535,837531
87,P,"2023-04-19 06:09:27","2023-04-19 06:09:27",837541,837560
91,A,"2023-04-19 06:09:58","2023-04-19 16:10:18",837527,837561
92,A,"2023-04-19 06:10:03","2023-04-19 06:12:02",837531,837562
93,A,"2023-04-19 06:10:03","2023-04-19 06:12:01",837537,837562
94,A,"2023-04-19 06:10:03","2023-04-19 06:12:07",837543,837562
95,A,"2023-04-19 06:10:03","2023-04-19 06:11:58",837555,837562
96,A,"2023-04-19 06:10:03","2023-04-19 06:12:13",837556,837562
97,A,"2023-04-19 06:10:26","2023-04-19 09:33:32",837538,837565
98,A,"2023-04-19 06:10:26","2023-04-19 09:30:01",837544,837565
99,A,"2023-04-19 06:10:31","2023-04-19 06:10:41",837536,837539
100,A,"2023-04-19 06:10:48","2023-04-19 09:33:27",837538,837570
101,A,"2023-04-19 06:10:48","2023-04-19 09:29:57",837544,837570
102,A,"2023-04-19 06:10:48","2023-04-19 11:28:13",837565,837570
103,A,"2023-04-19 06:10:48","2023-04-19 06:13:38",837563,837536
104,A,"2023-04-19 06:10:48","2023-04-19 06:12:02",837531,837571
105,A,"2023-04-19 06:10:48","2023-04-19 06:11:59",837537,837571
106,A,"2023-04-19 06:10:48","2023-04-19 06:12:04",837543,837571
107,A,"2023-04-19 06:10:48","2023-04-19 06:11:57",837555,837571
108,A,"2023-04-19 06:10:48","2023-04-19 06:12:12",837556,837571
109,A,"2023-04-19 06:10:48","2023-04-19 06:21:21",837562,837571
110,A,"2023-04-19 06:10:59","2023-04-19 06:11:22",837528,837574
111,A,"2023-04-19 06:10:59","2023-04-19 06:25:28",837549,837574
112,A,"2023-04-19 06:10:59","2023-04-19 06:13:49",837557,837574
113,A,"2023-04-19 06:12:05","2023-04-19 11:28:14",837565,837531
114,A,"2023-04-19 06:12:06","2023-04-22 14:14:50",837570,837531
117,A,"2023-04-19 06:12:18","2023-04-19 06:28:57",837561,837531
118,A,"2023-04-19 06:12:31","2023-04-19 06:20:32",837531,837583
119,A,"2023-04-19 06:12:31","2023-04-19 06:13:40",837537,837583
120,A,"2023-04-19 06:12:31","2023-04-19 06:20:02",837543,837583
