id,reason,created_at,block_user_id,user_id
142,"친구 사이가 어색해짐","2023-05-06 10:27:06",874579,874687
144,"나랑 관련 없는 질문을 자꾸 보냄","2023-05-06 10:27:56",874579,874687
145,"친구 사이가 어색해짐","2023-05-06 10:39:22",889141,903021
146,"모르는 사람임","2023-05-06 10:41:11",900589,900138
147,"모르는 사람임","2023-05-06 10:42:22",892298,891998
148,"모르는 사람임","2023-05-06 10:42:32",892298,891998
149,"모르는 사람임","2023-05-06 10:48:43",899659,897466
151,"친구 사이가 어색해짐","2023-05-06 10:50:30",895384,898439
152,"모르는 사람임","2023-05-06 10:55:51",870718,884022
153,"모르는 사람임","2023-05-06 10:55:58",880280,895204
155,"모르는 사람임","2023-05-06 11:06:23",861080,858031
156,"사칭 계정","2023-05-06 11:09:26",906135,894112
158,"친구 사이가 어색해짐","2023-05-06 11:16:34",889206,899577
159,"친구 사이가 어색해짐","2023-05-06 11:23:21",896244,877050
160,"모르는 사람임","2023-05-06 11:25:11",892334,899418
163,"모르는 사람임","2023-05-06 11:33:26",852038,858244
164,"사칭 계정","2023-05-06 11:33:34",871776,902435
165,"너무 많은 양의 질문을 보냄","2023-05-06 11:35:36",879867,878647
166,"모르는 사람임","2023-05-06 11:35:56",895039,893747
167,"친구 사이가 어색해짐","2023-05-06 11:38:54",863555,899139
168,"모르는 사람임","2023-05-06 11:42:06",907772,891998
169,"모르는 사람임","2023-05-06 11:42:13",874579,874687
170,"사칭 계정","2023-05-06 11:42:46",902467,905763
171,"모르는 사람임","2023-05-06 11:45:32",905767,894191
172,"사칭 계정","2023-05-06 11:48:17",906085,892418
173,"나랑 관련 없는 질문을 자꾸 보냄","2023-05-06 11:54:15",899987,897487
174,"친구 사이가 어색해짐","2023-05-06 11:56:13",907721,883198
177,"친구 사이가 어색해짐","2023-05-06 12:01:18",855535,900018
178,"모르는 사람임","2023-05-06 12:01:37",874309,885955
179,"친구 사이가 어색해짐","2023-05-06 12:01:37",906239,855562
183,"사칭 계정","2023-05-06 12:07:50",908095,863470
184,"친구 사이가 어색해짐","2023-05-06 12:09:00",909856,900480
187,"모르는 사람임","2023-05-06 12:14:50",894027,894733
188,"친구 사이가 어색해짐","2023-05-06 12:16:49",839979,839967
189,"친구 사이가 어색해짐","2023-05-06 12:17:10",840138,839967
190,"친구 사이가 어색해짐","2023-05-06 12:21:50",894923,894307
191,"모르는 사람임","2023-05-06 12:22:05",895857,894307
192,"모르는 사람임","2023-05-06 12:22:37",871380,875178
193,"모르는 사람임","2023-05-06 12:22:52",903002,894307
195,"모르는 사람임","2023-05-06 12:25:44",897553,894307
196,"친구 사이가 어색해짐","2023-05-06 12:27:25",893811,898496
197,"모르는 사람임","2023-05-06 12:27:31",896611,907139
198,"친구 사이가 어색해짐","2023-05-06 12:27:54",893811,898496
199,"모르는 사람임","2023-05-06 12:31:32",898020,898071
200,"너무 많은 양의 질문을 보냄","2023-05-06 12:31:54",903124,902088
201,"나랑 관련 없는 질문을 자꾸 보냄","2023-05-06 12:32:07",902440,900317
203,"친구 사이가 어색해짐","2023-05-06 12:34:09",907232,903021
204,"친구 사이가 어색해짐","2023-05-06 12:37:28",902605,902500
205,"모르는 사람임","2023-05-06 12:39:18",893479,892483
206,"친구 사이가 어색해짐","2023-05-06 12:40:03",895853,881333
207,"모르는 사람임","2023-05-06 12:41:04",907772,891998
208,"모르는 사람임","2023-05-06 12:41:18",896776,892262
209,"모르는 사람임","2023-05-06 12:41:49",896776,905678
210,"친구 사이가 어색해짐","2023-05-06 12:42:26",900536,889841
213,"모르는 사람임","2023-05-06 12:42:55",896081,863896
215,"친구 사이가 어색해짐","2023-05-06 12:48:52",896562,904102
216,"친구 사이가 어색해짐","2023-05-06 12:49:13",899036,904102
217,"친구 사이가 어색해짐","2023-05-06 12:49:34",899945,904102
218,"친구 사이가 어색해짐","2023-05-06 12:49:55",903061,904102
219,"친구 사이가 어색해짐","2023-05-06 12:50:19",897604,904102
220,"친구 사이가 어색해짐","2023-05-06 12:54:18",895557,897594
222,"모르는 사람임","2023-05-06 12:54:34",888424,884464
224,"모르는 사람임","2023-05-06 12:54:58",888424,884464
225,"모르는 사람임","2023-05-06 12:57:49",857521,884464
226,"모르는 사람임","2023-05-06 12:59:26",844295,845095
228,"사칭 계정","2023-05-06 13:06:10",912684,892418
