id,reason,created_at
166,"재밌는 질문이 없어서","2023-04-20 02:46:25"
167,"기타 이유","2023-04-20 03:00:05"
168,"함께 할 친구가 없어서","2023-04-20 03:09:19"
169,"함께 할 친구가 없어서","2023-04-20 03:16:55"
170,"함께 할 친구가 없어서","2023-04-20 03:20:36"
171,"기타 이유","2023-04-20 03:37:09"
172,"함께 할 친구가 없어서","2023-04-20 03:37:22"
173,"기타 이유","2023-04-20 03:38:31"
174,"기타 이유","2023-04-20 04:55:09"
175,"재밌는 질문이 없어서","2023-04-20 04:57:40"
176,"버그가 너무 많아서","2023-04-20 04:59:15"
177,"기타 이유","2023-04-20 05:06:17"
178,"기타 이유","2023-04-20 05:09:12"
179,"기타 이유","2023-04-20 05:11:46"
180,"기타 이유","2023-04-20 05:29:04"
181,"함께 할 친구가 없어서","2023-04-20 05:43:11"
182,"함께 할 친구가 없어서","2023-04-20 06:09:18"
183,"함께 할 친구가 없어서","2023-04-20 06:23:39"
184,"기타 이유","2023-04-20 06:42:07"
185,"기타 이유","2023-04-20 06:43:09"
186,"기타 이유","2023-04-20 06:56:17"
187,"기타 이유","2023-04-20 07:19:47"
188,"기타 이유","2023-04-20 07:56:07"
189,"함께 할 친구가 없어서","2023-04-20 08:06:01"
190,"기타 이유","2023-04-20 08:08:57"
191,"기타 이유","2023-04-20 08:11:05"
192,"기타 이유","2023-04-20 08:13:36"
193,"기타 이유","2023-04-20 08:19:18"
194,"기타 이유","2023-04-20 08:36:59"
195,"재밌는 질문이 없어서","2023-04-20 08:37:31"
196,"기타 이유","2023-04-20 09:00:54"
197,"함께 할 친구가 없어서","2023-04-20 09:22:20"
198,"기타 이유","2023-04-20 09:25:34"
199,"기타 이유","2023-04-20 09:51:37"
200,"함께 할 친구가 없어서","2023-04-20 10:02:33"
201,"기타 이유","2023-04-20 10:17:18"
202,"기타 이유","2023-04-20 10:46:32"
203,"기타 이유","2023-04-20 10:48:19"
204,"함께 할 친구가 없어서","2023-04-20 10:56:32"
205,"기타 이유","2023-04-20 11:13:31"
206,"기타 이유","2023-04-20 11:53:26"
207,"함께 할 친구가 없어서","2023-04-20 11:56:05"
208,"기타 이유","2023-04-20 11:57:29"
209,"함께 할 친구가 없어서","2023-04-20 11:58:33"
210,"함께 할 친구가 없어서","2023-04-20 12:20:29"
211,"함께 할 친구가 없어서","2023-04-20 12:22:06"
212,"기타 이유","2023-04-20 12:33:53"
213,"기타 이유","2023-04-20 12:37:26"
214,"기타 이유","2023-04-20 12:48:48"
215,"기타 이유","2023-04-20 12:57:11"
216,"기타 이유","2023-04-20 13:00:37"
217,"기타 이유","2023-04-20 13:02:46"
218,"기타 이유","2023-04-20 13:09:18"
219,"함께 할 친구가 없어서","2023-04-20 13:18:23"
220,"기타 이유","2023-04-20 14:01:15"
221,"기타 이유","2023-04-20 14:01:40"
222,"기타 이유","2023-04-20 14:06:23"
